t,x0,x1
0.0001,0,3.33333e-05
0.0002,3.33333e-09,6.66667e-05
0.0003,1e-08,0.0001
0.0004,2e-08,0.000133333
0.0005,3.33333e-08,0.000166667
0.0006,5e-08,0.0002
0.0007,7e-08,0.000233333
0.0008,9.33333e-08,0.000266666
0.0009,1.2e-07,0.000299999
0.001,1.5e-07,0.000333332
0.0011,1.83333e-07,0.000366665
0.0012,2.19999e-07,0.000399998
0.0013,2.59999e-07,0.00043333
0.0014,3.03332e-07,0.000466663
0.0015,3.49998e-07,0.000499995
0.0016,3.99998e-07,0.000533327
0.0017,4.53331e-07,0.000566659
0.0018,5.09997e-07,0.000599991
0.0019,5.69996e-07,0.000633323
0.002,6.33328e-07,0.000666654
0.0021,6.99993e-07,0.000699985
0.0022,7.69992e-07,0.000733316
0.0023,8.43323e-07,0.000766647
0.0024,9.19988e-07,0.000799978
0.0025,9.99986e-07,0.000833308
0.0026,1.08332e-06,0.000866638
0.0027,1.16998e-06,0.000899968
0.0028,1.25998e-06,0.000933297
0.0029,1.35331e-06,0.000966626
0.003,1.44997e-06,0.000999955
0.0031,1.54997e-06,0.00103328
0.0032,1.65329e-06,0.00106661
0.0033,1.75995e-06,0.00109994
0.0034,1.86995e-06,0.00113327
0.0035,1.98328e-06,0.00116659
0.0036,2.09993e-06,0.00119992
0.0037,2.21993e-06,0.00123325
0.0038,2.34325e-06,0.00126657
0.0039,2.46991e-06,0.0012999
0.004,2.5999e-06,0.00133322
0.0041,2.73322e-06,0.00136655
0.0042,2.86988e-06,0.00139987
0.0043,3.00986e-06,0.0014332
0.0044,3.15318e-06,0.00146652
0.0045,3.29983e-06,0.00149984
0.0046,3.44982e-06,0.00153316
0.0047,3.60314e-06,0.00156649
0.0048,3.75978e-06,0.00159981
0.0049,3.91976e-06,0.00163313
0.005,4.08308e-06,0.00166645
0.0051,4.24972e-06,0.00169977
0.0052,4.4197e-06,0.00173309
0.0053,4.59301e-06,0.00176641
0.0054,4.76965e-06,0.00179972
0.0055,4.94962e-06,0.00183304
0.0056,5.13293e-06,0.00186636
0.0057,5.31956e-06,0.00189967
0.0058,5.50953e-06,0.00193299
0.0059,5.70283e-06,0.00196631
