t,x0,x1
0.0001,0,3.33333e-05
0.0002,3.33333e-09,6.68761e-05
0.0003,1.00209e-08,0.000100628
0.0004,2.00838e-08,0.00013459
0.0005,3.35428e-08,0.000168761
0.0006,5.04188e-08,0.000203141
0.0007,7.07329e-08,0.000237731
0.0008,9.4506e-08,0.000272529
0.0009,1.21759e-07,0.000307537
0.001,1.52513e-07,0.000342754
0.0011,1.86788e-07,0.00037818
0.0012,2.24606e-07,0.000413815
0.0013,2.65987e-07,0.000449658
0.0014,3.10953e-07,0.00048571
0.0015,3.59524e-07,0.000521971
0.0016,4.11721e-07,0.00055844
0.0017,4.67565e-07,0.000595117
0.0018,5.27077e-07,0.000632003
0.0019,5.90277e-07,0.000669096
0.002,6.57187e-07,0.000706397
0.0021,7.27827e-07,0.000743906
0.0022,8.02217e-07,0.000781623
0.0023,8.8038e-07,0.000819546
0.0024,9.62334e-07,0.000857677
0.0025,1.0481e-06,0.000896015
0.0026,1.1377e-06,0.000934559
0.0027,1.23116e-06,0.00097331
0.0028,1.32849e-06,0.00101227
0.0029,1.42972e-06,0.00105143
0.003,1.53486e-06,0.0010908
0.0031,1.64394e-06,0.00113037
0.0032,1.75698e-06,0.00117015
0.0033,1.87399e-06,0.00121014
0.0034,1.99501e-06,0.00125033
0.0035,2.12004e-06,0.00129072
0.0036,2.24911e-06,0.00133132
0.0037,2.38224e-06,0.00137212
0.0038,2.51945e-06,0.00141312
0.0039,2.66077e-06,0.00145433
0.004,2.8062e-06,0.00149574
0.0041,2.95577e-06,0.00153736
0.0042,3.10951e-06,0.00157917
0.0043,3.26743e-06,0.00162119
0.0044,3.42955e-06,0.00166341
0.0045,3.59589e-06,0.00170583
0.0046,3.76647e-06,0.00174845
0.0047,3.94132e-06,0.00179127
0.0048,4.12044e-06,0.00183429
0.0049,4.30387e-06,0.00187751
0.005,4.49162e-06,0.00192093
0.0051,4.68372e-06,0.00196455
0.0052,4.88017e-06,0.00200837
0.0053,5.08101e-06,0.00205239
0.0054,5.28625e-06,0.0020966
0.0055,5.49591e-06,0.00214101
0.0056,5.71001e-06,0.00218562
0.0057,5.92857e-06,0.00223042
0.0058,6.15161e-06,0.00227542
0.0059,6.37915e-06,0.00232061
0.006,6.61121e-06,0.002366
0.0061,6.84781e-06,0.00241158
0.0062,7.08897e-06,0.00245735
0.0063,7.33471e-06,0.00250332
