t,x0,x1
0.01,1,-0.333333
0.02,0.996667,-0.666667
0.03,0.99,-0.998889
0.04,0.980011,-1.32889
0.05,0.966722,-1.65556
0.06,0.950167,-1.9778
0.07,0.930389,-2.29452
0.08,0.907443,-2.60465
0.09,0.881397,-2.90713
0.1,0.852326,-3.20093
0.11,0.820316,-3.48504
0.12,0.785466,-3.75848
0.13,0.747881,-4.0203
0.14,0.707678,-4.26959
0.15,0.664982,-4.50549
0.16,0.619927,-4.72715
0.17,0.572656,-4.93379
0.18,0.523318,-5.12468
0.19,0.472071,-5.29912
0.2,0.41908,-5.45647
0.21,0.364515,-5.59617
0.22,0.308554,-5.71767
0.23,0.251377,-5.82052
0.24,0.193172,-5.90431
0.25,0.134128,-5.9687
0.26,0.0744414,-6.01341
0.27,0.0143073,-6.03823
0.28,-0.046075,-6.043
0.29,-0.106505,-6.02764
0.3,-0.166781,-5.99214
0.31,-0.226703,-5.93654
0.32,-0.286068,-5.86098
0.33,-0.344678,-5.76562
0.34,-0.402334,-5.65073
0.35,-0.458841,-5.51662
0.36,-0.514008,-5.36367
0.37,-0.567644,-5.19233
0.38,-0.619568,-5.00312
0.39,-0.669599,-4.7966
0.4,-0.717565,-4.5734
0.41,-0.763299,-4.33421
0.42,-0.806641,-4.07977
0.43,-0.847438,-3.81089
0.44,-0.885547,-3.52841
0.45,-0.920832,-3.23323
0.46,-0.953164,-2.92629
0.47,-0.982427,-2.60857
0.48,-1.00851,-2.28109
0.49,-1.03132,-1.94492
0.5,-1.05077,-1.60115
0.51,-1.06678,-1.25089
0.52,-1.07929,-0.895294
0.53,-1.08825,-0.53553
0.54,-1.0936,-0.172781
0.55,-1.09533,0.191752
0.56,-1.09341,0.556862
0.57,-1.08784,0.921332
0.58,-1.07863,1.28395
0.59,-1.06579,1.64349
0.6,-1.04936,1.99875
0.61,-1.02937,2.34854
0.62,-1.00588,2.69166
0.63,-0.978966,3.02695
0.64,-0.948696,3.35328
0.65,-0.915163,3.66951
0.66,-0.878468,3.97456
0.67,-0.838723,4.26739
0.68,-0.796049,4.54696
0.69,-0.750579,4.81231
0.7,-0.702456,5.0625
0.71,-0.651831,5.29665
0.72,-0.598864,5.51393
0.73,-0.543725,5.71355
0.74,-0.48659,5.89479
0.75,-0.427642,6.05699
0.76,-0.367072,6.19954
0.77,-0.305076,6.3219
0.78,-0.241857,6.42359
0.79,-0.177622,6.50421
0.8,-0.112579,6.56341
0.81,-0.0469453,6.60094
0.82,0.0190641,6.61659
0.83,0.08523,6.61023
0.84,0.151332,6.58182
0.85,0.217151,6.53138
0.86,0.282464,6.459
0.87,0.347054,6.36484
0.88,0.410703,6.24916
0.89,0.473194,6.11226
0.9,0.534317,5.95452
0.91,0.593862,5.77642
0.92,0.651626,5.57847
0.93,0.707411,5.36126
0.94,0.761024,5.12545
0.95,0.812278,4.87178
0.96,0.860996,4.60102
0.97,0.907006,4.31402
0.98,0.950146,4.01168
0.99,0.990263,3.69497
1,1.02721,3.36488
1.01,1.06086,3.02248
1.02,1.09109,2.66886
1.03,1.11777,2.30516
1.04,1.14083,1.93257
1.05,1.16015,1.55229
1.06,1.17568,1.16558
1.07,1.18733,0.773685
1.08,1.19507,0.377908
1.09,1.19885,-0.0204479
1.1,1.19864,-0.420064
1.11,1.19444,-0.819611
1.12,1.18625,-1.21776
1.13,1.17407,-1.61317
1.14,1.15794,-2.00453
1.15,1.13789,-2.39051
1.16,1.11399,-2.76981
1.17,1.08629,-3.14113
1.18,1.05488,-3.50323
1.19,1.01984,-3.85486
1.2,0.981296,-4.1948
1.21,0.939348,-4.5219
1.22,0.894129,-4.83502
1.23,0.845779,-5.13306
1.24,0.794448,-5.41499
1.25,0.740298,-5.6798
1.26,0.6835,-5.92657
1.27,0.624234,-6.1544
1.28,0.56269,-6.36248
1.29,0.499065,-6.55004
1.3,0.433565,-6.7164
1.31,0.366401,-6.86092
1.32,0.297792,-6.98305
1.33,0.227961,-7.08232
1.34,0.157138,-7.15831
1.35,0.085555,-7.21068
1.36,0.0134482,-7.2392
1.37,-0.0589438,-7.24369
1.38,-0.131381,-7.22404
1.39,-0.203621,-7.18024
1.4,-0.275424,-7.11237
1.41,-0.346547,-7.02056
1.42,-0.416753,-6.90505
1.43,-0.485803,-6.76613
1.44,-0.553465,-6.6042
1.45,-0.619507,-6.41971
1.46,-0.683704,-6.2132
1.47,-0.745836,-5.9853
1.48,-0.805689,-5.73669
1.49,-0.863056,-5.46813
1.5,-0.917737,-5.18044
1.51,-0.969541,-4.87453
1.52,-1.01829,-4.55135
1.53,-1.0638,-4.21192
1.54,-1.10592,-3.85732
1.55,-1.14449,-3.48868
1.56,-1.17938,-3.10718
1.57,-1.21045,-2.71406
1.58,-1.23759,-2.31057
1.59,-1.2607,-1.89804
1.6,-1.27968,-1.47781
1.61,-1.29446,-1.05125
1.62,-1.30497,-0.619766
1.63,-1.31117,-0.184777
1.64,-1.31301,0.252279
1.65,-1.31049,0.68995
1.66,-1.30359,1.12678
1.67,-1.29232,1.56131
1.68,-1.27671,1.99209
1.69,-1.25679,2.41766
1.7,-1.23261,2.83659
1.71,-1.20425,3.24746
1.72,-1.17177,3.64887
1.73,-1.13528,4.03946
1.74,-1.09489,4.41789
1.75,-1.05071,4.78286
1.76,-1.00288,5.13309
1.77,-0.951551,5.46739
1.78,-0.896877,5.78457
1.79,-0.839032,6.08353
1.8,-0.778196,6.36321
1.81,-0.714564,6.62261
1.82,-0.648338,6.86079
1.83,-0.57973,7.07691
1.84,-0.508961,7.27015
1.85,-0.43626,7.4398
1.86,-0.361862,7.58522
1.87,-0.28601,7.70584
1.88,-0.208951,7.80118
1.89,-0.130939,7.87083
1.9,-0.052231,7.91448
1.91,0.0269138,7.93189
1.92,0.106233,7.92292
1.93,0.185462,7.88751
1.94,0.264337,7.82568
1.95,0.342594,7.73757
1.96,0.419969,7.62337
1.97,0.496203,7.48338
1.98,0.571037,7.31798
1.99,0.644217,7.12764
2,0.715493,6.9129
2.01,0.784622,6.6744
2.02,0.851366,6.41286
2.03,0.915495,6.12907
2.04,0.976786,5.82391
2.05,1.03502,5.49831
2.06,1.09001,5.1533
2.07,1.14154,4.78997
2.08,1.18944,4.40945
2.09,1.23354,4.01297
2.1,1.27366,3.6018
2.11,1.30968,3.17724
2.12,1.34146,2.74068
2.13,1.36886,2.29353
2.14,1.3918,1.83724
2.15,1.41017,1.37331
2.16,1.4239,0.903252
2.17,1.43294,0.428617
2.18,1.43722,-0.0490277
2.19,1.43673,-0.528102
2.2,1.43145,-1.00701
2.21,1.42138,-1.48416
2.22,1.40654,-1.95796
2.23,1.38696,-2.4268
2.24,1.36269,-2.88912
2.25,1.3338,-3.34335
2.26,1.30037,-3.78795
2.27,1.26249,-4.22141
2.28,1.22027,-4.64224
2.29,1.17385,-5.04899
2.3,1.12336,-5.44028
2.31,1.06896,-5.81473
2.32,1.01081,-6.17105
2.33,0.9491,-6.50799
2.34,0.88402,-6.82435
2.35,0.815776,-7.11903
2.36,0.744586,-7.39095
2.37,0.670677,-7.63915
2.38,0.594285,-7.8627
2.39,0.515658,-8.0608
2.4,0.43505,-8.23269
2.41,0.352723,-8.3777
2.42,0.268946,-8.49528
2.43,0.183993,-8.58493
2.44,0.0981441,-8.64626
2.45,0.0116815,-8.67897
2.46,-0.0751082,-8.68287
2.47,-0.161937,-8.65783
2.48,-0.248515,-8.60385
2.49,-0.334554,-8.52101
2.5,-0.419764,-8.40949
2.51,-0.503859,-8.26957
2.52,-0.586554,-8.10162
2.53,-0.667571,-7.9061
2.54,-0.746632,-7.68358
2.55,-0.823467,-7.4347
2.56,-0.897814,-7.16021
2.57,-0.969417,-6.86094
2.58,-1.03803,-6.5378
2.59,-1.1034,-6.19179
2.6,-1.16532,-5.82399
2.61,-1.22356,-5.43555
2.62,-1.27792,-5.0277
2.63,-1.32819,-4.60172
2.64,-1.37421,-4.15899
2.65,-1.4158,-3.70092
2.66,-1.45281,-3.22899
2.67,-1.4851,-2.74472
2.68,-1.51255,-2.24969
2.69,-1.53504,-1.7455
2.7,-1.5525,-1.23382
2.71,-1.56484,-0.716321
2.72,-1.572,-0.194708
2.73,-1.57395,0.329292
2.74,-1.57066,0.853941
2.75,-1.56212,1.37749
2.76,-1.54834,1.8982
2.77,-1.52936,2.41431
2.78,-1.50522,2.9241
2.79,-1.47597,3.42584
2.8,-1.44172,3.91783
2.81,-1.40254,4.3984
2.82,-1.35855,4.86591
2.83,-1.3099,5.31876
2.84,-1.25671,5.7554
2.85,-1.19915,6.1743
2.86,-1.13741,6.57402
2.87,-1.07167,6.95315
2.88,-1.00214,7.31038
2.89,-0.929035,7.64442
2.9,-0.852591,7.9541
2.91,-0.77305,8.2383
2.92,-0.690667,8.49598
2.93,-0.605707,8.7262
2.94,-0.518445,8.92811
2.95,-0.429164,9.10092
2.96,-0.338155,9.24398
2.97,-0.245715,9.35669
2.98,-0.152148,9.4386
2.99,-0.0577619,9.48931
3,0.0371312,9.50857
3.01,0.132217,9.49619
3.02,0.227179,9.45212
3.03,0.3217,9.37639
3.04,0.415464,9.26916
3.05,0.508156,9.13067
3.06,0.599462,8.96129
3.07,0.689075,8.76147
3.08,0.77669,8.53177
3.09,0.862008,8.27288
3.1,0.944736,7.98554
3.11,1.02459,7.67063
3.12,1.1013,7.3291
3.13,1.17459,6.962
3.14,1.24421,6.57047
3.15,1.30991,6.15573
3.16,1.37147,5.7191
3.17,1.42866,5.26194
3.18,1.48128,4.78572
3.19,1.52914,4.29196
3.2,1.57206,3.78224
3.21,1.60988,3.25823
3.22,1.64246,2.7216
3.23,1.66968,2.17411
3.24,1.69142,1.61755
3.25,1.7076,1.05374
3.26,1.71813,0.484546
3.27,1.72298,-0.0881648
3.28,1.7221,-0.662491
3.29,1.71547,-1.23652
3.3,1.70311,-1.80835
3.31,1.68502,-2.37605
3.32,1.66126,-2.93772
3.33,1.63189,-3.49148
3.34,1.59697,-4.03544
3.35,1.55662,-4.56776
3.36,1.51094,-5.08664
3.37,1.46007,-5.59028
3.38,1.40417,-6.07697
3.39,1.3434,-6.54503
3.4,1.27795,-6.99283
3.41,1.20802,-7.41881
3.42,1.13383,-7.82149
3.43,1.05562,-8.19943
3.44,0.973624,-8.5513
3.45,0.888111,-8.87584
3.46,0.799352,-9.17188
3.47,0.707634,-9.43833
3.48,0.61325,-9.67421
3.49,0.516508,-9.87863
3.5,0.417722,-10.0508
3.51,0.317214,-10.19
3.52,0.215314,-10.2958
3.53,0.112356,-10.3675
3.54,0.00868039,-10.405
3.55,-0.0953696,-10.4079
3.56,-0.199448,-10.3761
3.57,-0.303209,-10.3096
3.58,-0.406306,-10.2085
3.59,-0.508391,-10.0731
3.6,-0.609122,-9.90365
3.61,-0.708159,-9.70061
3.62,-0.805165,-9.46456
3.63,-0.89981,-9.19617
3.64,-0.991772,-8.89623
3.65,-1.08073,-8.56564
3.66,-1.16639,-8.20539
3.67,-1.24844,-7.8166
3.68,-1.32661,-7.40045
3.69,-1.40062,-6.95825
3.7,-1.4702,-6.49137
3.71,-1.53511,-6.00131
3.72,-1.59512,-5.4896
3.73,-1.65002,-4.9579
3.74,-1.6996,-4.40789
3.75,-1.74368,-3.84136
3.76,-1.78209,-3.26013
3.77,-1.81469,-2.6661
3.78,-1.84135,-2.0612
3.79,-1.86197,-1.44742
3.8,-1.87644,-0.826762
3.81,-1.88471,-0.201282
3.82,-1.88672,0.426954
3.83,-1.88245,1.05586
3.84,-1.87189,1.68335
3.85,-1.85506,2.30731
3.86,-1.83199,2.92566
3.87,-1.80273,3.53632
3.88,-1.76737,4.13723
3.89,-1.72599,4.72636
3.9,-1.67873,5.30169
3.91,-1.62571,5.86126
3.92,-1.5671,6.40317
3.93,-1.50307,6.92554
3.94,-1.43381,7.42656
3.95,-1.35955,7.9045
3.96,-1.2805,8.35768
3.97,-1.19693,8.78451
3.98,-1.10908,9.18349
3.99,-1.01725,9.55318
4,-0.921715,9.89227
4.01,-0.822792,10.1995
4.02,-0.720797,10.4738
4.03,-0.616059,10.714
4.04,-0.508919,10.9194
4.05,-0.399725,11.089
4.06,-0.288835,11.2223
4.07,-0.176612,11.3185
4.08,-0.0634266,11.3774
4.09,0.0503476,11.3986
4.1,0.164333,11.3818
4.11,0.278151,11.327
4.12,0.391421,11.2343
4.13,0.503764,11.1038
4.14,0.614802,10.9359
4.15,0.724161,10.731
4.16,0.83147,10.4896
4.17,0.936366,10.2124
4.18,1.03849,9.90029
4.19,1.13749,9.55412
4.2,1.23303,9.17496
4.21,1.32478,8.76395
4.22,1.41242,8.32235
4.23,1.49565,7.85155
4.24,1.57416,7.353
4.25,1.64769,6.82828
4.26,1.71597,6.27905
4.27,1.77877,5.70705
4.28,1.83584,5.11413
4.29,1.88698,4.50219
4.3,1.932,3.87319
4.31,1.97073,3.2292
4.32,2.00302,2.57228
4.33,2.02875,1.90461
4.34,2.04779,1.22836
4.35,2.06008,0.545764
4.36,2.06553,-0.140927
4.37,2.06412,-0.829438
4.38,2.05583,-1.51748
4.39,2.04065,-2.20276
4.4,2.01863,-2.88297
4.41,1.9898,-3.55585
4.42,1.95424,-4.21912
4.43,1.91205,-4.87053
4.44,1.86334,-5.50788
4.45,1.80826,-6.12899
4.46,1.74697,-6.73175
4.47,1.67966,-7.31407
4.48,1.60652,-7.87396
4.49,1.52778,-8.40946
4.5,1.44368,-8.91872
4.51,1.35449,-9.39995
4.52,1.26049,-9.85145
4.53,1.16198,-10.2716
4.54,1.05926,-10.6589
4.55,0.952675,-11.012
4.56,0.842555,-11.3296
4.57,0.729259,-11.6104
4.58,0.613154,-11.8535
4.59,0.494619,-12.0579
4.6,0.37404,-12.2228
4.61,0.251812,-12.3475
4.62,0.128338,-12.4314
4.63,0.00402366,-12.4742
4.64,-0.120718,-12.4755
4.65,-0.245473,-12.4353
4.66,-0.369826,-12.3535
4.67,-0.493361,-12.2302
4.68,-0.615662,-12.0657
4.69,-0.73632,-11.8605
4.7,-0.854925,-11.6151
4.71,-0.971075,-11.3301
